each,acc,F1,recall,precision
0,0.6211799207048534,0.6193151338770924,0.6179486896757629,0.6194852941176471
1,0.6335613274239653,0.6208999480458042,0.6119610485957636,0.6213235294117647
2,0.664639037433155,0.6414877485247965,0.6287596185328472,0.6420036764705882
3,0.6753358207242806,0.6613769129070273,0.6547577473508669,0.6617647058823529
4,0.6886129334582943,0.6876983174904623,0.6871762737004649,0.6875
5,0.6911909591422776,0.6895131313950502,0.6887068362025255,0.6893382352941176
6,0.6851960109315007,0.6852002351931388,0.6851968206264341,0.6852022058823529
7,0.6892831158170785,0.6800013178925883,0.6764375957297089,0.6806066176470589
8,0.7023200379177088,0.6976102941176471,0.6958401842198061,0.6976102941176471
9,0.6982852450227428,0.6968471208434712,0.6964968702213333,0.6971507352941176
10,0.7033206930217021,0.698986647742873,0.6976891800604152,0.6994485294117647
11,0.7038887924406637,0.6944602138329076,0.6911583017195018,0.6948529411764706
12,0.7017247844019497,0.694978914074855,0.6926374913795252,0.6953125
13,0.6969491869574781,0.6966563603494011,0.6965671112012575,0.6966911764705882
14,0.699963633973381,0.6978849870916292,0.6972241865358847,0.6980698529411765
15,0.6960529546570633,0.6942630740833041,0.6936526455760705,0.6943933823529411
16,0.7056812026002167,0.7052893693054376,0.7052344793933835,0.7054227941176471
17,0.7028140286860549,0.6958946649906059,0.69351139613433,0.6962316176470589
18,0.7055072066863444,0.7053914093948392,0.7053704636644287,0.7054227941176471
19,0.7026613884939552,0.7026783390952009,0.7026578427428084,0.7026654411764706
